1900	1282.2655631123525
1901	1579.7577432648675
1902	1546.2993472202756
1903	1860.9533478979995
1904	2416.390292045862
1905	1706.8225879674426
1906	1732.6821069632474
1907	1464.5126981728638
1908	1474.2939497116881
1909	1687.8594917793528
1910	1609.101923168505
1911	1882.2597839891757
1912	2849.5247471274356
1913	2042.491793888933
1914	557.8969339173058
1915	454.5913122062632
1916	388.21697961858587
1917	369.97021730137214
1918	327.96604308126894
1919	314.12239619099756
1920	267.6711869741806
1921	530.1050089455849
1922	550.1341822733023
1923	383.1741203224734
1924	386.56412505903165
1925	436.4560002274607
1926	409.5113150670673
1927	486.8840708932341
1928	389.789919809086
1929	453.3002150667946
1930	841.9524740053474
1931	833.6803543140717
1932	929.4164257900371
1933	958.6195169437002
1934	872.1097442246642
1935	1284.4383683468302
1936	1128.1576001431313
1937	1107.7704378032247
1938	711.8362634194932
1939	537.0618625158605
1940	536.6069744442459
1941	617.2987791646359
1942	586.9207927934908
1943	557.8056840201989
1944	460.4016604895531
1945	546.780807520918
1946	535.6903247288511
1947	515.383090325952
1948	409.6120375551702
1949	443.52257516977164
1950	384.8994585181216
1951	399.83576128562197
1952	410.51055464483306
1953	460.0229063617717
1954	476.1092421630226
1955	505.90245308609724
1956	421.33754199135194
1957	401.8436646227188
1958	402.3487149916786
1959	366.9964600315262
1960	363.42044782398284
1961	365.3146129946117
1962	355.0285363229378
1963	349.7041861791868
1964	330.3949887646168
1965	323.7783779924211
1966	330.8737773872187
1967	290.8064978792727
1968	280.45890966433404
1969	267.6957450362739
1970	287.2236905831075
1971	317.41704418736543
1972	311.2115561629795
1973	330.7273585584437
1974	361.86389738822555
1975	355.870394909285
1976	363.6603186430761
1977	347.41081923950816
1978	337.47794416316356
1979	327.50961562948083
1980	256.6695697684378
1981	217.82149009955376
1982	216.52261905930337
1983	221.8841914153402
1984	218.99825292667907
1985	216.6632228127916
1986	222.45604308602196
1987	259.9193525677767
1988	294.58634979586094
1989	288.42871376392236
1990	277.90235335024073
1991	275.7371784948958
1992	272.0609247179172
1993	275.53303487805834
1994	275.0388210658487
1995	287.67752643471096
1996	301.36583190313706
1997	328.35540081962756
1998	324.81072008833945
1999	362.93924096754586
2000	359.1359862092567
