1900	21.103985990009633
1901	20.08258092039475
1902	16.798378198465926
1903	17.990328789003318
1904	15.601304672545536
1905	14.983594903257886
1906	13.879767429351578
1907	13.966716134209976
1908	14.607646851250877
1909	17.309073472481046
1910	17.81805673173756
1911	22.439329613409686
1912	26.200742120325007
1913	31.37714147693233
1914	34.31093388009303
1915	36.69569505729765
1916	39.382885633603244
1917	41.83336326428721
1918	38.01182036877522
1919	38.48576667077561
1920	39.12326413208099
1921	38.38886038589739
1922	38.780192949930075
1923	37.388596778718075
1924	35.458911517110955
1925	41.05763036897666
1926	41.10832590647959
1927	44.37588550842297
1928	48.83485459945754
1929	53.64743734018369
1930	60.210542577992236
1931	69.67460548126805
1932	61.76471894717455
1933	70.06614060613437
1934	69.96806810133221
1935	69.49625207752351
1936	64.69664416399169
1937	64.22726077396378
1938	60.58708011035531
1939	64.67379783946551
1940	55.274814936093364
1941	57.02310283488324
1942	55.75711213329581
1943	56.65773988293941
1944	54.020569388084574
1945	54.70147135341289
1946	55.156123295311055
1947	60.54531565854275
1948	55.220526449851995
1949	55.71650465661629
1950	57.10646033573071
1951	59.90336508250494
1952	59.733793438619685
1953	63.655466223754836
1954	67.57410675635762
1955	75.01637622897591
1956	81.34288502238947
1957	82.28931253142932
1958	83.97569406046362
1959	87.80893414259963
1960	91.80187295806044
1961	91.70234218335898
1962	93.62474998621566
1963	97.42371691849615
1964	104.55306711783041
1965	104.92483775809919
1966	109.1417111530315
1967	111.4372000550502
1968	116.06907585064592
1969	123.53175310153138
1970	127.63139900998341
1971	134.94120835378789
1972	145.27223230674255
1973	147.78931849396716
1974	155.06805649402676
1975	156.3450699256275
1976	156.57736935804292
1977	159.60257509466504
1978	153.12900852309616
1979	158.51929908924603
1980	161.08598631840172
1981	160.01528740499563
1982	165.7028565701809
1983	170.8334998952542
1984	166.17221768444836
1985	172.61908322753442
1986	173.04538657759795
1987	172.18164568371128
1988	176.6359040162866
1989	165.30085519394527
1990	159.95609164382623
1991	157.68565372384916
1992	146.98469396907691
1993	133.7320792374101
1994	133.8218905670083
1995	128.69365635465795
1996	128.52502641706758
1997	125.00336861852136
1998	124.69623168179635
1999	125.52826787913258
2000	131.65848937975136
